Set,Instance,W,H,n,|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
NGCUT,NGCUT12,30,30,22,0,0,2012,2012,2012,1865,1865,1865,0.07306163021868788,0.0,0,1,2902,3059,242,28,0.06,0.014,0.0,0.0,0.0,0.0,0.061
HCCUT,HCCUT1,15,15,15,0,0,7016,6014,6014,5827,5827,5827,0.031094113734619223,0.0,0,1,51,59,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCCUT,HCCUT2,30,30,7,0,0,1347,1347,1347,1178,1178,1178,0.12546399406087602,0.0,0,1,42,51,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCCUT,HCCUT3,30,30,15,0,0,1547,1483,1483,1270,1270,1270,0.14362778152393796,0.0,0,1,2258,2660,540,0,0.002,0.0,0.0,0.0,0.0,0.0,0.002
HCCUT,HCCUT4,40,40,10,0,0,3079,3079,3079,2517,2517,2517,0.1825267944137707,0.0,0,1,147,179,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCCUT,HCCUT5,40,40,15,0,0,3604,3206,3206,2949,2949,2949,0.0801621958827199,0.0,0,1,604,691,117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGCUT,CGCUT1,15,10,16,0,0,260,260,260,237,244,244,0.08846153846153847,0.0,0,1,266,312,77,3,0.004,0.0,0.0,0.0,0.0,0.0,0.004
CGCUT,CGCUT2,40,70,23,0,0,2919,2919,2919,2848,2892,2892,0.024323398424117848,0.0,0,1,11779,12662,887,235,1.737,0.839,0.0,0.001,0.001,0.0,1.741
CGCUT,CGCUT3,40,70,62,0,0,2020,2020,2020,1860,1860,1860,0.07920792079207921,0.0,0,1,22771,23139,368,11,0.02,0.007,0.0,0.0,0.001,0.0,0.023
GCUT,GCUT1,250,250,10,0,0,62488,62324,62324,48368,48368,48368,0.2239265772415121,0.0,0,1,267,308,52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
GCUT,GCUT2,250,250,20,0,0,62500,62497,62497,59563,59798,59798,0.04694625342016417,0.0,0,1,7071,8567,1497,0,0.009,0.0,0.0,0.001,0.001,0.0,0.011
GCUT,GCUT3,250,250,30,0,0,62500,62500,62500,61275,61275,61275,0.0196,0.0,0,1,88602,100144,11542,0,0.089,0.0,0.001,0.005,0.006,0.0,0.103
GCUT,GCUT4,250,250,50,0,0,62500,62500,62500,61380,61380,61380,0.01792,0.0,0,1,1953729,2210923,257194,19,2.071,0.049,0.001,0.008,0.062,0.0,2.183
GCUT,GCUT5,500,500,10,0,0,249854,249669,249669,195582,195582,195582,0.21663482450764812,0.0,0,1,463,560,132,3,0.015,0.012,0.001,0.0,0.0,0.0,0.016
GCUT,GCUT6,500,500,20,0,0,249992,249992,249992,236305,236305,236305,0.05474975199206374,0.0,0,1,3099,3770,671,0,0.003,0.0,0.002,0.001,0.0,0.0,0.007
GCUT,GCUT7,500,500,30,0,0,249998,249998,249998,240143,240143,240143,0.0394203153625229,0.0,0,1,24980,29574,4594,0,0.035,0.0,0.003,0.002,0.002,0.0,0.044
GCUT,GCUT8,500,500,50,0,0,250000,250000,250000,245758,245758,245758,0.016968,0.0,0,1,2126233,2388933,262700,2,3.264,0.014,0.005,0.038,0.108,0.0,3.497
GCUT,GCUT9,1000,1000,10,0,0,997256,997256,997256,939600,939600,939600,0.057814643381438664,0.0,0,1,216,258,42,0,0.0,0.0,0.004,0.0,0.001,0.0,0.005
GCUT,GCUT10,1000,1000,20,0,0,999918,999918,999918,932696,937349,937349,0.0672275126560378,0.0,0,1,2842,3475,635,0,0.009,0.0,0.007,0.001,0.0,0.0,0.017
GCUT,GCUT11,1000,1000,30,0,0,1000000,1000000,1000000,969709,969709,969709,0.030291,0.0,0,1,96070,112601,16531,1,0.378,0.017,0.011,0.009,0.008,0.0,0.414
GCUT,GCUT12,1000,1000,50,0,0,1000000,1000000,1000000,979521,979521,979521,0.020479,0.0,0,1,650295,726922,76627,0,1.411,0.0,0.017,0.052,0.044,0.0,1.554
GCUT,GCUT13,3000,3000,32,0,0,9000000,9000000,9000000,8626199,9000000,8626199,0.04153344444444444,0.04153344444444444,0,0,2697172,3577544,880342,36,3656.763,2225.116,0.158,0.141,2.422,0.0,3659.89
OKP,OKP1,100,100,50,0,0,29133,29133,29133,27320,27718,27718,0.062231833316170666,0.0,0,1,130277,140964,14429,441,24.815,21.943,0.001,0.0,0.002,0.0,24.832
OKP,OKP2,100,100,30,0,0,24800,24348,24348,21976,22502,22502,0.09742073270905208,0.0,0,1,182241,194602,19072,3387,16.96,9.239,0.0,0.001,0.007,0.0,16.975
OKP,OKP3,100,100,30,0,0,26714,26527,26527,24019,24019,24019,0.09454518038225204,0.0,0,1,371893,389306,20616,108,0.485,0.166,0.001,0.0,0.014,0.0,0.525
OKP,OKP4,100,100,61,0,0,33631,33631,33631,32893,32893,32893,0.021944039725253488,0.0,0,1,13441,13744,329,0,0.006,0.0,0.001,0.0,0.0,0.0,0.007
OKP,OKP5,100,100,97,0,0,29045,29045,29045,26800,27923,27923,0.07729385436391806,0.0,0,1,19010,20156,1316,31,0.318,0.154,0.001,0.0,0.004,0.0,0.323
WANG,WANG3,40,70,42,0,0,2800,2800,2800,2721,2726,2726,0.028214285714285713,0.0,0,1,31452,35905,4454,0,0.021,0.0,0.0,0.001,0.002,0.0,0.024
H,H,98,127,5,0,0,3783,0,3783,3783,3783,3783,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HZ,HZ1,67,78,6,0,0,2989,0,2989,2989,2989,2989,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HZ,HZ2,80,99,5,0,0,2926,0,2926,2926,2926,2926,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,M1,156,100,10,0,0,15589,15589,15589,13400,14478,14478,0.14041952658926166,0.0,0,1,294,367,100,6,0.052,0.045,0.0,0.0,0.0,0.0,0.052
M,M2,294,253,10,0,0,74091,74091,74091,63693,67227,67227,0.14034093209701584,0.0,0,1,170,203,51,10,0.079,0.069,0.001,0.0,0.0,0.0,0.08
M,M3,473,318,10,0,0,150021,150021,150021,133085,133802,133802,0.11289086194599422,0.0,0,1,579,676,98,3,0.025,0.02,0.0,0.0,0.0,0.0,0.026
M,M4,556,501,10,0,0,278294,278294,278294,238934,250667,250667,0.14143316061431435,0.0,0,1,163,200,49,1,0.01,0.007,0.001,0.0,0.0,0.0,0.011
M,M5,806,750,10,0,0,603452,603452,603452,521603,545771,545771,0.13563464865473973,0.0,0,1,316,392,103,3,0.068,0.063,0.002,0.0,0.001,0.0,0.071
MW,MW1,156,100,10,0,0,3656,3656,3656,3158,3317,3317,0.1362144420131291,0.0,0,1,275,302,42,0,0.001,0.0,0.001,0.0,0.0,0.0,0.002
MW,MW2,294,253,10,0,0,18075,18075,18075,15531,16432,16432,0.14074688796680498,0.0,0,1,169,191,31,5,0.029,0.025,0.001,0.0,0.0,0.0,0.031
MW,MW3,473,318,10,0,0,34032,34032,34032,30359,30359,30359,0.10792783262811471,0.0,0,1,309,356,47,2,0.013,0.011,0.0,0.0,0.0,0.0,0.013
MW,MW4,556,501,10,0,0,54693,54693,54693,45822,49122,49122,0.1621962591190829,0.0,0,1,441,486,59,2,0.024,0.019,0.001,0.0,0.0,0.0,0.025
MW,MW5,806,750,10,0,0,161641,161641,161641,136631,148377,148377,0.1547255956100247,0.0,0,1,155,177,32,0,0.002,0.0,0.002,0.0,0.0,0.0,0.004
UU,UU1,500,500,25,0,0,249999,249999,249999,244153,244153,244153,0.023384093536374145,0.0,0,1,57092,65097,8005,0,0.111,0.0,0.0,0.006,0.01,0.0,0.129
UU,UU2,800,750,30,0,0,600000,600000,600000,588477,590395,590395,0.019205,0.0,0,1,557090,631283,74194,4,2.038,0.086,0.008,0.005,0.036,0.0,2.109
UU,UU3,1000,1100,25,0,0,1100000,1100000,1100000,1070313,1070313,1070313,0.026988181818181817,0.0,0,1,165947,193804,27857,7,1.147,0.22,0.011,0.017,0.016,0.0,1.205
UU,UU4,1200,1000,38,0,0,1200000,1200000,1200000,1175375,1182367,1182367,0.020520833333333332,0.0,0,1,5818463,6656994,838533,135,43.422,5.139,0.018,0.015,0.297,0.0,44.044
UU,UU5,1300,1450,50,0,0,1885000,1885000,1885000,1844412,1867816,1867816,0.02153209549071618,0.0,0,1,27334536,30104526,2769992,19,157.643,1.326,0.038,0.003,0.847,0.0,159.97
UU,UU6,1457,2050,38,0,0,2986850,2986850,2986850,2910095,2915611,2915611,0.025697641327820278,0.0,0,1,1797916,2105018,307103,39,17.366,2.804,0.046,0.002,0.107,0.0,17.649
UU,UU7,2024,1465,50,0,0,2965160,2965160,2965160,2913405,2929398,2929398,0.017454370084582282,0.0,0,1,58711487,67102651,8391165,1551,937.072,215.195,0.058,0.122,1.146,0.0,942.102
UU,UU8,2000,2000,55,0,0,4000000,4000000,4000000,3945012,3945012,3945012,0.013747,0.0,0,1,47142142,52915970,5773828,87,461.225,11.307,0.084,0.034,1.621,0.0,465.74
UW,UW1,500,500,25,0,0,4766,4766,4766,4114,4248,4248,0.13680234997901805,0.0,0,1,753,853,167,12,0.107,0.091,0.002,0.001,0.0,0.0,0.11
UW,UW2,750,560,35,0,0,5647,5647,5647,5115,5409,5409,0.09420931468036126,0.0,0,1,1767,1818,81,21,0.455,0.405,0.008,0.0,0.002,0.0,0.466
UW,UW3,650,700,35,0,0,4444,4444,4444,3983,4192,4192,0.10373537353735374,0.0,0,1,578,620,59,9,0.182,0.167,0.007,0.001,0.0,0.0,0.191
UW,UW4,1015,1245,45,0,0,6307,6307,6307,5780,5901,5901,0.08355795148247978,0.0,0,1,4293,4531,375,56,3.153,3.03,0.025,0.001,0.002,0.0,3.182
UW,UW5,1450,1100,35,0,0,5232,5232,5232,4505,4653,4653,0.1389525993883792,0.0,0,1,1516,1590,128,9,0.416,0.397,0.018,0.0,0.005,0.0,0.439
UW,UW6,1542,1750,47,0,0,5480,5480,5480,4876,5108,5108,0.11021897810218978,0.0,0,1,8842,9123,481,23,2.748,2.649,0.055,0.0,0.006,0.0,2.81
UW,UW7,1875,2250,50,0,0,6688,6688,6688,6076,6271,6271,0.09150717703349283,0.0,0,1,1370,1413,83,6,0.984,0.949,0.089,0.0,0.0,0.0,1.079
UW,UW8,2763,2645,55,0,0,6165,6165,6165,5564,5887,5887,0.09748580697485806,0.0,0,1,1021,1066,59,6,2.226,2.188,0.19,0.001,0.002,0.0,2.419
UW,UW9,3250,3000,45,0,0,4881,4881,4881,4306,4535,4535,0.11780372874410981,0.0,0,1,5649,5991,563,22,6.403,6.269,0.23,0.0,0.002,0.0,6.635
UW,UW10,3650,3500,60,0,0,6471,6471,6471,5816,6090,6090,0.10122083140163808,0.0,0,1,9333,9711,584,12,6.977,6.747,0.361,0.001,0.008,0.0,7.348
UW,UW11,632,555,30,0,0,6987,6987,6987,6457,6937,6937,0.07585515958208101,0.0,0,1,76,79,4,4,812.111,812.083,0.005,0.001,0.005,0.0,812.122
W,W2,2769,3427,20,0,0,19636,19636,19636,17904,19148,19148,0.08820533713587289,0.0,0,1,230,243,17,11,6.248,6.194,0.102,0.0,0.001,0.0,6.351
